the|the 定冠词
raised|raised raise的过去式
passed|passed pass的过去式
sold|sold sell的过去式
required|required require的过去式
reported|reported report的过去式
decided|decided decide的过去式
pulled|pulled pull的过去式
developed|developed develop的过去式
carried|carried carry的过去式
broke|broke break的过去式
agreed|agreed agree的过去式
supported|supported support的过去式
ate|ate eat的过去式
drawn|drawn draw的过去分词
chosen|chosen choose的过去分词
known|known know的过去分词
seen|seen see的过去分词
given|given give的过去分词
taken|taken take的过去分词
found|found find的过去分词
begun|begun begin的过去分词
shown|shown show的过去分词
grown|grown grow的过去分词
eaten|eaten eat的过去分词
ran|ran run的过去式
become|become 成为
became|became become的过去式
feel|feel 感觉
felt|felt feel的过去式
sleep|sleep 睡
slept|slept sleep的过去式
wake|wake 醒
woke|woke wake的过去式
drink|drink 喝
drank|drank drink的过去式
fly|fly 飞
flew|flew fly的过去式
sing|sing 唱
sang|sang sing的过去式
swim|swim 游泳
swam|swam swim的过去式
wear|wear 穿
wore|wore wear的过去式
drive|drive 驾驶
drove|drove drive的过去式
ride|ride 骑
rode|rode ride的过去式
teach|teach 教
taught|taught teach的过去式
paid|paid pay的过去式
fight|fight 战斗
fought|fought fight的过去式
won|won win的过去式
lost|lost lose的过去式
met|met meet的过去式
stood|stood stand的过去式
heard|heard hear的过去式
said|said say的过去式
put|put 放
cost|cost 花费
forget|forget 忘记
forgot|forgot forget的过去式
rise|rise 上升
rose|rose rise的过去式
spoke|spoke speak的过去式
hide|hide 藏
hid|hid hide的过去式
bite|bite 咬
bit|bit bite的过去式
strike|strike 击打
struck|struck strike的过去式
hang|hang 挂
hung|hung hang的过去式
sink|sink 沉
sank|sank sink的过去式
ring|ring 响
rang|rang ring的过去式
spring|spring 跳
sprang|sprang spring的过去式
shrink|shrink 收缩
shrank|shrank shrink的过去式
swear|swear 发誓
swore|swore swear的过去式
tear|tear 撕
tore|tore tear的过去式
bear|bear 忍受
bore|bore bear的过去式
drew|drew draw的过去式
blow|blow 吹
blew|blew blow的过去式
throw|throw 扔
threw|threw throw的过去式
chose|chose choose的过去式
freeze|freeze 冻结
froze|froze freeze的过去式
steal|steal 偷
stole|stole steal的过去式
arise|arise 出现
arose|arose arise的过去式
forbid|forbid 禁止
forbade|forbade forbid的过去式
good|good 好的
bad|bad 坏的
new|new 新的
old|old 老的/旧的
young|young 年轻的
great|great 伟大的
little|little 小的/少的
big|big 大的
small|small 小的
large|large 大的
long|long 长的
short|short 短的
high|high 高的
low|low 低的
wide|wide 宽的
deep|deep 深的
thick|thick 厚的
thin|thin 薄的
heavy|heavy 重的
light|light 轻的
hard|hard 硬的/难的
soft|soft 软的
easy|easy 容易的
difficult|difficult 困难的
fast|fast 快的
slow|slow 慢的
quiet|quiet 安静的
noisy|noisy 吵闹的
dark|dark 暗的
bright|bright 明亮的
hot|hot 热的
cold|cold 冷的
cool|cool 凉爽的
warm|warm 温暖的
dry|dry 干的
wet|wet 湿的
rich|rich 富有的
poor|poor 贫穷的
strong|strong 强壮的
weak|weak 虚弱的
healthy|healthy 健康的
ill|ill 生病的
happy|happy 开心的
sad|sad 悲伤的
angry|angry 生气的
afraid|afraid 害怕的
tired|tired 累的
free|free 自由的/免费的
busy|busy 忙碌的
beautiful|beautiful 美丽的
ugly|ugly 丑陋的
important|important 重要的
possible|possible 可能的
necessary|necessary 必要的
different|different 不同的
right|right 正确的
wrong|wrong 错误的
true|true 真实的
false|false 假的
real|real 真实的
natural|natural 自然的
special|special 特别的
common|common 常见的
certain|certain 确定的
clear|clear 清晰的
late|late 晚的
early|early 早的
public|public 公共的
private|private 私人的
safe|safe 安全的
dangerous|dangerous 危险的
famous|famous 著名的
popular|popular 流行的
serious|serious 严肃的
strange|strange 奇怪的
wonderful|wonderful 极好的
terrible|terrible 可怕的
exciting|exciting 令人兴奋的
boring|boring 无聊的
interesting|interesting 有趣的
nice|nice 好的
kind|kind 和善的
cruel|cruel 残忍的
brave|brave 勇敢的
careful|careful 仔细的
careless|careless 粗心的
polite|polite 礼貌的
rude|rude 粗鲁的
honest|honest 诚实的
clever|clever 聪明的
stupid|stupid 愚蠢的
funny|funny 有趣的
usual|usual 通常的
enough|enough 足够的
able|able 能够的
unable|unable 不能的
ready|ready 准备好的
alone|alone 独自的
together|together 一起
dead|dead 死的
alive|alive 活着的
asleep|asleep 睡着的
awake|awake 醒着的
proud|proud 骄傲的
anxious|anxious 焦虑的
ashamed|ashamed 羞耻的
grateful|grateful 感激的
guilty|guilty 内疚的
jealous|jealous 嫉妒的
curious|curious 好奇的
eager|eager 热切的
generous|generous 慷慨的
gentle|gentle 温和的
patient|patient 耐心的
strict|strict 严格的
tender|tender 温柔的
wild|wild 野生的
calm|calm 平静的
firm|firm 坚定的
fair|fair 公平的
pure|pure 纯净的
plain|plain 朴素的
royal|royal 皇家的
smooth|smooth 平滑的
rough|rough 粗糙的
sharp|sharp 锋利的
stiff|stiff 僵硬的
loose|loose 松的
tight|tight 紧的
empty|empty 空的
full|full 满的
bare|bare 赤裸的
blind|blind 瞎的
deaf|deaf 聋的
naked|naked 赤裸的
dumb|dumb 哑的
bitter|bitter 苦的
sweet|sweet 甜的
sour|sour 酸的
salty|salty 咸的
fresh|fresh 新鲜的
ripe|ripe 成熟的
raw|raw 生的
cooked|cooked 煮熟的
married|married 已婚的
single|single 单身的
nervous|nervous 紧张的
confident|confident 自信的
shy|shy 害羞的
wise|wise 明智的
foolish|foolish 愚蠢的
silly|silly 傻的
crazy|crazy 疯狂的
mad|mad 疯狂的
furious|furious 狂怒的
humble|humble 谦逊的
modest|modest 谦虚的
arrogant|arrogant 傲慢的
mean|mean 卑鄙的
noble|noble 高尚的
selfish|selfish 自私的
greedy|greedy 贪婪的
lazy|lazy 懒惰的
diligent|diligent 勤奋的
active|active 积极的
passive|passive 被动的
positive|positive 积极的
negative|negative 消极的
optimistic|optimistic 乐观的
pessimistic|pessimistic 悲观的
formal|formal 正式的
informal|informal 非正式的
official|official 官方的
political|political 政治的
religious|religious 宗教的
scientific|scientific 科学的
historical|historical 历史的
cultural|cultural 文化的
economic|economic 经济的
social|social 社会的
personal|personal 个人的
civil|civil 公民的
military|military 军事的
international|international 国际的
national|national 国家的
local|local 当地的
foreign|foreign 外国的
western|western 西方的
eastern|eastern 东方的
northern|northern 北方的
southern|southern 南方的
central|central 中心的
modern|modern 现代的
ancient|ancient 古代的
classical|classical 古典的
traditional|traditional 传统的
contemporary|contemporary 当代的
previous|previous 以前的
current|current 当前的
former|former 以前的
recent|recent 最近的
gradual|gradual 渐进的
sudden|sudden 突然的
immediate|immediate 立即的
temporary|temporary 临时的
permanent|permanent 永久的
final|final 最终的
last|last 最后的
next|next 下一个
first|first 第一个
second|second 第二个
third|third 第三个
main|main 主要的
major|major 主要的
minor|minor 次要的
primary|primary 主要的
secondary|secondary 次要的
basic|basic 基本的
fundamental|fundamental 基本的
advanced|advanced 高级的
elementary|elementary 初级的
simple|simple 简单的
complicated|complicated 复杂的
complex|complex 复杂的
perfect|perfect 完美的
absolute|absolute 绝对的
relative|relative 相对的
complete|complete 完整的
total|total 总的
entire|entire 整个的
extreme|extreme 极端的
moderate|moderate 温和的
violent|violent 暴力的
mild|mild 温和的
severe|severe 严重的
slight|slight 轻微的
tiny|tiny 微小的
massive|massive 巨大的
vast|vast 广阔的
broad|broad 宽阔的
narrow|narrow 狭窄的
flat|flat 平坦的
steep|steep 陡峭的
bent|bent 弯曲的
straight|straight 直的
round|round 圆的
square|square 正方形的
circular|circular 圆形的
triangular|triangular 三角形的
solid|solid 固体的
liquid|liquid 液体的
gas|gas 气体的
mental|mental 精神的
physical|physical 身体的
spiritual|spiritual 精神的
emotional|emotional 情感的
rational|rational 理性的
sensitive|sensitive 敏感的
innocent|innocent 无辜的
experienced|experienced 有经验的
skilled|skilled 熟练的
unskilled|unskilled 不熟练的
talented|talented 有天赋的
gifted|gifted 有天赋的
brilliant|brilliant 出色的
ordinary|ordinary 普通的
outstanding|outstanding 杰出的
excellent|excellent 优秀的
terrific|terrific 极好的
awful|awful 糟糕的
rotten|rotten 腐烂的
wealthy|wealthy 富有的
wealthier|wealthier 更富的
wealthiest|wealthiest 最富的
poorer|poorer 更穷的
poorest|poorest 最穷的
richer|richer 更富的
richest|richest 最富的
happier|happier 更开心的
happiest|happiest 最开心的
sadder|sadder 更悲伤的
saddest|saddest 最悲伤的
easier|easier 更容易的
easiest|easiest 最容易的
harder|harder 更难的
hardest|hardest 最难的
better|better 更好的
best|best 最好的
worse|worse 更差的
worst|worst 最差的
more|more 更多的
most|most 最多的
less|less 更少的
least|least 最少的
further|further 更远的
furthest|furthest 最远的
older|older 更老的
oldest|oldest 最老的
younger|younger 更年轻的
youngest|youngest 最年轻的
higher|higher 更高的
highest|highest 最高的
lower|lower 更低的
lowest|lowest 最低的
longer|longer 更长的
longest|longest 最长的
shorter|shorter 更短的
shortest|shortest 最短的
earlier|earlier 更早的
earliest|earliest 最早的
later|later 更晚的
latest|latest 最晚的
bigger|bigger 更大的
biggest|biggest 最大的
smaller|smaller 更小的
smallest|smallest 最小的
very|very 非常
much|much 非常
quite|quite 相当
rather|rather 相当
too|too 太
also|also 也
only|only 只
just|just 只是
ever|ever 曾经
still|still 仍然
already|already 已经
yet|yet 还
twice|twice 两次
here|here 这里
there|there 那里
where|where 哪里
why|why 为什么
how|how 怎样
always|always 总是
never|never 从不
often|often 经常
sometimes|sometimes 有时
usually|usually 通常
occasionally|occasionally 偶尔
rarely|rarely 很少
seldom|seldom 很少
constantly|constantly 不断地
continuously|continuously 连续地
forever|forever 永远
apart|apart 分开
away|away 离开
back|back 回来
ahead|ahead 向前
around|around 周围
aside|aside 在旁边
nearby|nearby 在附近
abroad|abroad 在国外
indoors|indoors 在室内
outdoors|outdoors 在户外
upstairs|upstairs 在楼上
downstairs|downstairs 在楼下
somewhere|somewhere 某处
anywhere|anywhere 任何地方
everywhere|everywhere 到处
nowhere|nowhere 无处
somehow|somehow 不知怎么地
anyhow|anyhow 无论如何
almost|almost 几乎
nearly|nearly 几乎
exactly|exactly 精确地
especially|especially 尤其
particularly|particularly 特别地
generally|generally 通常
specifically|specifically 特别地
mainly|mainly 主要地
mostly|mostly 主要地
largely|largely 主要地
partly|partly 部分地
simply|simply 简单地
merely|merely 仅仅
purely|purely 完全地
absolutely|absolutely 完全地
completely|completely 完全地
totally|totally 完全地
fully|fully 完全地
entirely|entirely 完全地
truly|truly 真正地
really|really 真的
actually|actually 实际上
indeed|indeed 确实
certainly|certainly 当然
surely|surely 确定地
definitely|definitely 明确地
probably|probably 可能
possibly|possibly 可能
perhaps|perhaps 也许
maybe|maybe 也许
apparently|apparently 显然地
obviously|obviously 显然
clearly|clearly 清楚地
precisely|precisely 精确地
approximately|approximately 大约
roughly|roughly 大约
now|now 现在
then|then 然后
soon|soon 不久
shortly|shortly 很快
quickly|quickly 快速地
slowly|slowly 缓慢地
rapidly|rapidly 快速地
swiftly|swiftly 迅速地
suddenly|suddenly 突然
immediately|immediately 立即
eventually|eventually 最终
finally|finally 最后
ago|ago 以前
recently|recently 最近
lately|lately 最近
today|today 今天
tonight|tonight 今晚
tomorrow|tomorrow 明天
yesterday|yesterday 昨天
nevertheless|nevertheless 尽管如此
besides|besides 此外
moreover|moreover 此外
furthermore|furthermore 而且
instead|instead 代替
anyway|anyway 无论如何
meanwhile|meanwhile 与此同时
two|two 二
three|three 三
four|four 四
five|five 五
six|six 六
seven|seven 七
eight|eight 八
nine|nine 九
ten|ten 十
eleven|eleven 十一
twelve|twelve 十二
thirteen|thirteen 十三
fourteen|fourteen 十四
fifteen|fifteen 十五
sixteen|sixteen 十六
seventeen|seventeen 十七
eighteen|eighteen 十八
nineteen|nineteen 十九
twenty|twenty 二十
thirty|thirty 三十
forty|forty 四十
fifty|fifty 五十
sixty|sixty 六十
seventy|seventy 七十
eighty|eighty 八十
ninety|ninety 九十
hundred|hundred 百
thousand|thousand 千
million|million 百万
billion|billion 十亿
fourth|fourth 第四
fifth|fifth 第五
sixth|sixth 第六
seventh|seventh 第七
eighth|eighth 第八
ninth|ninth 第九
tenth|tenth 第十
double|double 两倍
triple|triple 三倍
few|few 很少
several|several 几个
many|many 很多
no|no 没有
some|some 一些
any|any 任何
all|all 全部
people|people 人们
person|person 人
man|man 男人
woman|woman 女人
child|child 孩子
children|children 孩子们
baby|baby 婴儿
boy|boy 男孩
girl|girl 女孩
friend|friend 朋友
family|family 家庭
father|father 父亲
mother|mother 母亲
parent|parent 父母
brother|brother 兄弟
sister|sister 姐妹
son|son 儿子
daughter|daughter 女儿
husband|husband 丈夫
wife|wife 妻子
uncle|uncle 叔叔
aunt|aunt 阿姨
cousin|cousin 堂/表兄弟姐妹
grandfather|grandfather 祖父
grandmother|grandmother 祖母
student|student 学生
teacher|teacher 老师
doctor|doctor 医生
nurse|nurse 护士
police|police 警察
lawyer|lawyer 律师
worker|worker 工人
manager|manager 经理
president|president 总统/校长
king|king 国王
queen|queen 女王
hero|hero 英雄
author|author 作者
artist|artist 艺术家
scientist|scientist 科学家
engineer|engineer 工程师
soldier|soldier 士兵
secretary|secretary 秘书
assistant|assistant 助手
director|director 导演/主任
chef|chef 厨师
driver|driver 司机
pilot|pilot 飞行员
actor|actor 男演员
actress|actress 女演员
musician|musician 音乐家
painter|painter 画家
writer|writer 作家
professor|professor 教授
researcher|researcher 研究员
judge|judge 法官
witness|witness 证人
victim|victim 受害者
prisoner|prisoner 囚犯
enemy|enemy 敌人
guest|guest 客人
host|host 主人
neighbor|neighbor 邻居
partner|partner 伙伴
colleague|colleague 同事
audience|audience 观众
customer|customer 顾客
client|client 客户
refugee|refugee 难民
citizen|citizen 公民
head|head 头
eye|eye 眼睛
ear|ear 耳朵
nose|nose 鼻子
mouth|mouth 嘴
tooth|tooth 牙齿
teeth|teeth 牙齿(复)
tongue|tongue 舌头
hair|hair 头发
neck|neck 脖子
shoulder|shoulder 肩膀
arm|arm 手臂
hand|hand 手
finger|finger 手指
leg|leg 腿
foot|foot 脚
feet|feet 脚(复)
knee|knee 膝盖
chest|chest 胸部
heart|heart 心脏
brain|brain 大脑
skin|skin 皮肤
bone|bone 骨头
blood|blood 血
voice|voice 声音
mind|mind 头脑
book|book 书
page|page 页
word|word 单词
sentence|sentence 句子
story|story 故事
novel|novel 小说
paper|paper 纸/论文
pen|pen 笔
pencil|pencil 铅笔
desk|desk 桌子
chair|chair 椅子
table|table 桌子
bed|bed 床
room|room 房间
house|house 房子
home|home 家
building|building 建筑物
door|door 门
window|window 窗户
wall|wall 墙
floor|floor 地板
roof|roof 屋顶
stairs|stairs 楼梯
car|car 汽车
bus|bus 公共汽车
train|train 火车
ship|ship 船
plane|plane 飞机
bicycle|bicycle 自行车
phone|phone 电话
computer|computer 电脑
machine|machine 机器
tool|tool 工具
food|food 食物
water|water 水
milk|milk 牛奶
meat|meat 肉
bread|bread 面包
rice|rice 米饭
egg|egg 蛋
fruit|fruit 水果
vegetable|vegetable 蔬菜
salt|salt 盐
sugar|sugar 糖
coffee|coffee 咖啡
tea|tea 茶
wine|wine 葡萄酒
beer|beer 啤酒
oil|oil 油
clothes|clothes 衣服
shirt|shirt 衬衫
dress|dress 连衣裙
coat|coat 外套
shoe|shoe 鞋
hat|hat 帽子
bag|bag 包
money|money 钱
coin|coin 硬币
note|note 纸币
card|card 卡片
key|key 钥匙
letter|letter 信
email|email 电子邮件
news|news 新闻
message|message 消息
information|information 信息
data|data 数据
fact|fact 事实
truth|truth 真相
idea|idea 主意
reason|reason 原因
knowledge|knowledge 知识
question|question 问题
answer|answer 答案
problem|problem 问题
solution|solution 解决方案
choice|choice 选择
decision|decision 决定
plan|plan 计划
result|result 结果
effect|effect 效果
cause|cause 原因
purpose|purpose 目的
chance|chance 机会
power|power 力量/电力
energy|energy 能量
force|force 力
law|law 法律
rule|rule 规则
duty|duty 责任
job|job 工作
business|business 商业
trade|trade 贸易
market|market 市场
price|price 价格
value|value 价值
tax|tax 税
profit|profit 利润
benefit|benefit 利益
risk|risk 风险
growth|growth 增长
progress|progress 进步
success|success 成功
failure|failure 失败
achievement|achievement 成就
city|city 城市
town|town 城镇
village|village 村庄
country|country 国家
nation|nation 民族/国家
world|world 世界
earth|earth 地球
land|land 土地
street|street 街道
road|road 道路
river|river 河流
lake|lake 湖
sea|sea 海
ocean|ocean 海洋
mountain|mountain 山
island|island 岛屿
forest|forest 森林
desert|desert 沙漠
beach|beach 海滩
field|field 田地
garden|garden 花园
park|park 公园
school|school 学校
college|college 学院
university|university 大学
hospital|hospital 医院
church|church 教堂
temple|temple 寺庙
museum|museum 博物馆
library|library 图书馆
station|station 车站
airport|airport 机场
port|port 港口
office|office 办公室
factory|factory 工厂
prison|prison 监狱
court|court 法院
theater|theater 剧院
restaurant|restaurant 餐厅
hotel|hotel 酒店
shop|shop 商店
store|store 商店
bank|bank 银行
sun|sun 太阳
moon|moon 月亮
star|star 星星
sky|sky 天空
cloud|cloud 云
rain|rain 雨
snow|snow 雪
wind|wind 风
storm|storm 暴风雨
fire|fire 火
air|air 空气
darkness|darkness 黑暗
shadow|shadow 影子
space|space 空间
time|time 时间
year|year 年
month|month 月
week|week 周
day|day 天
hour|hour 小时
minute|minute 分钟
morning|morning 早晨
afternoon|afternoon 下午
evening|evening 傍晚
night|night 夜晚
summer|summer 夏天
autumn|autumn 秋天
winter|winter 冬天
history|history 历史
future|future 未来
past|past 过去
present|present 现在
moment|moment 时刻
period|period 时期
age|age 年龄/时代
century|century 世纪
animal|animal 动物
dog|dog 狗
cat|cat 猫
bird|bird 鸟
fish|fish 鱼
horse|horse 马
cow|cow 母牛
sheep|sheep 绵羊
pig|pig 猪
chicken|chicken 鸡
duck|duck 鸭子
rabbit|rabbit 兔子
mouse|mouse 老鼠
snake|snake 蛇
wolf|wolf 狼
lion|lion 狮子
tiger|tiger 老虎
elephant|elephant 大象
monkey|monkey 猴子
deer|deer 鹿
fox|fox 狐狸
tree|tree 树
flower|flower 花
grass|grass 草
leaf|leaf 叶子
root|root 根
seed|seed 种子
plant|plant 植物
god|god 神
life|life 生活/生命
death|death 死亡
war|war 战争
peace|peace 和平
hate|hate 恨
fear|fear 恐惧
joy|joy 快乐
anger|anger 愤怒
pain|pain 疼痛
pleasure|pleasure 快乐
pride|pride 骄傲
shame|shame 羞耻
guilt|guilt 内疚
society|society 社会
culture|culture 文化
religion|religion 宗教
science|science 科学
technology|technology 技术
art|art 艺术
music|music 音乐
film|film 电影
game|game 游戏
sport|sport 运动
race|race 种族/赛跑
class|class 班级/阶级
government|government 政府
army|army 军队
company|company 公司
team|team 团队
group|group 组
party|party 聚会/党
union|union 工会/联盟
club|club 俱乐部
association|association 协会
organization|organization 组织
yes|yes 是
okay|okay 好的
please|please 请
thanks|thanks 谢谢
sorry|sorry 对不起
hello|hello 你好
goodbye|goodbye 再见
wow|wow 哇
oh|oh 哦
ah|ah 啊
ouch|ouch 哎哟
amazing|amazing 惊人的
awesome|awesome 极好
fine|fine 好
pretty|pretty 相当
fairly|fairly 相当
even|even 甚至
whereas|whereas 然而
throughout|throughout 贯穿
towards|towards 朝向
along|along 沿着
across|across 穿过
onto|onto 到…上
into|into 进入
out|out 出去
off|off 离开
down|down 向下
up|up 向上
